561E 161 160
5618 339 283
564C 27 35
5632 32 370
562C 392 40
563F 110 195
564E 346 275
566B 347 1
5671 341 135
5693 21 28
56A3 333 4
56BC 127 135
56CB 357 359
9A6E 319 73
9A80 302 55
9AA0 15 233
9607 69 280
960F 74 344
9619 251 135
5B81 213 377
5BB6 123 96 128
5BB3 105 109
5BBF 296 338
5978 124 87
59C6 197 395
59E5 159 197
5A1C 198 220
5A2D 1 329
5A09 235 236
5A7C 45 266
72B4 106 2
72CC 282 336
7339 28 366
7332 334 109
7360 167 159
5CD2 67 313
5CE4 127 126
5CD9 374 283
5D34 321 324
5DB7 347 207
7BF8 23 359
5C3A 36 33
5C3F 210 298
5C3E 324 347
5C4F 236 18
5C5E 285 377
9979 90 160
58F3 142 126
624E 357 366
6252 5 223
625B 140 88
6273 7 225
6298 371 280
62D7 4 214
62CC 7 225
62C6 29 21
62B9 195 179
62DA 225 235
62D3 319 301
62E9 362 367
62FE 283 280
631D 378 327
62FD 379 346
62F6 357 359
634B 178 403
63BA 30 23 277
63B8 56 277
637B 208 211
63D0 308 61
63E5 308 61
63F2 280 64
6412 8 230
644B 267 275
64AE 53 392
64FF 308 374
6512 359 50
6C3F 101 132
6C4F 302 54
6C64 304 278
6C8C 72 380
6C69 96 353
6CA1 185 195
6C76 325 186
6CCC 188 13
6CCA 19 237
6D45 242 124
6CF7 172 289
6D54 342
6D52 115 339
6D4D 149 120
6D3E 224 223
6D17 331 329
6D8C 351 37
6DA1 327 103
6D5A 136 342
6E0E 69 68
6E11 189 282
6DB4 327 354
6E6B 248 127 132
6EC0 39 339
6EBA 207 210
6EB1 372 245
6F2F 178 161 301
6F84 35 60
6FC6 81 229
6F66 167 159
6F6D 303 342
6FB9 56 303
7011 239 9
7EA5 109 90
7EA2 113 94
7EA4 331 242
7EA6 355 219
7EB6 177 99
7ED9 91
7EDC 178 159
7EE0 93 18
7EF0 45 32
7EFF 403 174
7EFC 386 365
7F0F 14 232
7F09 91 240
7F2A 196 190 194
7F29 296 300
7F34 127 384
5DF7 332 107
5730 61 59
5729 324 339
573B 240 348
5762 7 225
577B 61 36
578C 67 313
57D4 239 20
57CB 180 181
5815 73 120
5821 9 20 239
5854 301 54
585E 268 272
56DD 124 200
56E4 72 318
5708 250 134
